Current Family,Current Scienticfic Name,Dowhan Family,Name in Dowhan 1979 ,Common Name(s),Origin,Conservation Status,Connecticut (sources used by Haines),Notes,Other synonyms,,,,,,
Apiaceae,Levisticum officinale W.D.J. Koch,Umbelliferae,same,garden lovage,E,,Seymour (1982); Kartesz (1999),,,,,,,,
Apiaceae,Ligusticum scoticum L. ssp. scoticum,Umbelliferae,Ligusticum scoticum L.,Scotch lovage,N,En,Seymour (1982); Kartesz (1999),,,,,,,,
Apiaceae,Lilaeopsis chinensis (L.) Kuntze,Umbelliferae,same,eastern grasswort,N,SC,Seymour (1982); Kartesz (1999),,,,,,,,
Apiaceae,Osmorhiza claytonii (Michx.) C.B. Clarke,Umbelliferae,same,bland sweet-cicely,N,,Seymour (1982); Kartesz (1999),,,,,,,,
Apiaceae,Osmorhiza longistylis (Torr.) DC.,Umbelliferae,Osmorhiza longistylis (Torr.) DC. var. longistylis; Osmorhiza longistylis (Torr.) DC.  var. villicaulis Fern.; Osmorhiza longistylis (Torr.) DC. var. brachycoma Blake,long-styled sweet-cicely,N,,Seymour (1982); Kartesz (1999),,,,,,,,
Apiaceae,Panax quinquefolius L.,Araliaceae,same,American ginseng,N,SC,Seymour (1982); Kartesz (1999),,,,,,,,
Apiaceae,Panax trifolius L.,Araliaceae,same,dwarf ginseng,N,,Seymour (1982); Kartesz (1999),,,,,,,,
Apiaceae,Pastinaca sativa L.,Umbelliferae,same,wild parsnip,E,,Seymour (1982); Kartesz (1999),,,,,,,,
Apiaceae,Petroselinum crispum (P. Mill.) Nyman ex A.W. Hill,Umbelliferae,Petroselinum crispum (P. Mill.) Hill,parsley,E,,Seymour (1982); Kartesz (1999),,,,,,,,
Apiaceae,Pimpinella saxifraga L. ssp. saxifraga,Umbelliferae,Pimpinella saxifraga L.,solid-stemmed burnet saxifrage,E,,Seymour (1982); Kartesz (1999),,,,,,,,
Apiaceae,Ptilimnium capillaceum (Michx.) Raf.,Umbelliferae,same,Atlantic mock bishop-weed,N,,Seymour (1982); Kartesz (1999),,,,,,,,
Apiaceae,Sanicula canadensis L. var. canadensis,Umbelliferae,same,Canada sanicle; black snakeroot,N,,VT!,,,,,,,,
Apiaceae,Sanicula canadensis L. var. grandis Fern.,Umbelliferae,same,Canada sanicle; black snakeroot,N,,,,,,,,,,
Apiaceae,Sanicula marilandica L.,Umbelliferae,same,Maryland sanicle,N,,Seymour (1982); Kartesz (1999),,,,,,,,
Apiaceae,Sanicula odorata (Raf.) K.M. Pryer & L.R. Phillippe,Umbelliferae,Sanicula gregaria Bichn.,clustered sanicle,N,,Seymour (1982); Kartesz (1999),,,,,,,,
Apiaceae,Sanicula trifoliata Bickn.,Umbelliferae,same,large-fruited sanicle,N,,Seymour (1982); Kartesz (2008),,,,,,,,
Apiaceae,Sium suave Walt.,Umbelliferae,same,water-parsnip,N,,Seymour (1982); Kartesz (1999),,,,,,,,
Apiaceae,Taenidia integerrima (L.) Drude,Umbelliferae,same,yellow-pimpernel,N,En,Seymour (1982); Kartesz (1999),,,,,,,,
Apiaceae,Torilis japonica (Houtt.) DC.,new,new,erect hedge-parsley,E,,Les Mehrhoff (personal communication),,,,,,,,
Apiaceae,Zizia aptera (Gray) Fern.,Umbelliferae,same,heart-leaved golden Alexanders,N,En,Seymour (1982); Kartesz (1999),,,,,,,,
